store_id,location,store_type,open_date
72,North Christy,Urban,2024-07-14 22:57:03.969162
73,Lake Tamarashire,Rural,2024-08-03 22:57:03.969162
74,West Brenda,Rural,2017-10-06 22:57:03.969162
75,New Johnside,Suburban,2025-02-10 22:57:03.969162
76,Lake Glenn,Rural,2021-09-06 22:57:03.969162
77,Ryanfurt,Rural,2023-01-17 22:57:03.969162
78,Lake Jessica,Rural,2017-09-09 22:57:03.969162
79,Amberside,Rural,2020-10-20 22:57:03.969162
80,West Karenmouth,Rural,2018-05-14 22:57:03.969162
81,Kimberlyshire,Rural,2025-05-01 22:57:03.969162
82,New Amy,Rural,2021-01-05 22:57:03.969162
83,Port Robertville,Urban,2023-10-09 22:57:03.969162
84,Jessicaview,Urban,2018-08-06 22:57:03.969162
85,Elliston,Suburban,2023-04-11 22:57:03.969162
86,Wallaceside,Urban,2020-10-30 22:57:03.969162
87,East Gina,Urban,2021-04-23 22:57:03.969162
88,Andrewburgh,Suburban,2024-11-12 22:57:03.969162
89,New Laura,Urban,2024-06-30 22:57:03.969162
90,Wallacehaven,Urban,2023-05-24 22:57:03.969162
91,West Tylerberg,Suburban,2022-05-31 22:57:03.969162
92,South Deborahchester,Urban,2021-09-04 22:57:03.969162
93,Kristinside,Urban,2021-12-11 22:57:03.969162
94,Lake Brandonfort,Rural,2021-11-30 22:57:03.969162
95,West John,Rural,2017-11-15 22:57:03.969162
96,Danielberg,Rural,2021-02-10 22:57:03.969162
97,New Philip,Suburban,2025-01-12 22:57:03.969162
98,West Sharon,Rural,2022-02-04 22:57:03.969162
99,East Josephville,Rural,2018-04-04 22:57:03.969162
100,Harrisonfort,Suburban,2022-03-18 22:57:03.969162
